artigoEmPeriodico	 	2022	1434-6052	http://dx.doi.org/10.1140/epjc/s10052-022-10791-2	Separation of track- and shower-like energy deposits in ProtoDUNE-SP using a convolutional neural network	EUROPEAN PHYSICAL JOURNAL C. PARTICLES AND FIELDS	ABED ABUD, A. ; ABI, B. ; ACCIARRI, R. ; ACERO, M. A. ; ADAMES, M. R. ; ADAMOV, G. ; ADAMOWSKI, M. ; ADAMS, D. ; ADINOLFI, M. ; ADUSZKIEWICZ, A. ; AGUILAR, J. ; AHMAD, Z. ; AHMED, J. ; AIMARD, B. ; ALI-MOHAMMADZADEH, B. ; ALION, T. ; ALLISON, K. ; ALONSO MONSALVE, S. ; ALRASHED, M. ; Valdiviesso, G.	A2	
artigoEmPeriodico	 	2022	1748-0221	http://dx.doi.org/10.1088/1748-0221/17/01/p01005	Design, construction and operation of the ProtoDUNE-SP Liquid Argon TPC	Journal of Instrumentation	ABED ABUD, A. ; ABI, B. ; ACCIARRI, R. ; ACERO, M.A. ; ADAMES, M.R. ; ADAMOV, G. ; ADAMS, D. ; ADINOLFI, M. ; ADUSZKIEWICZ, A. ; AGUILAR, J. ; AHMAD, Z. ; AHMED, J. ; ALI-MOHAMMADZADEH, B. ; ALION, T. ; ALLISON, K. ; ALONSO MONSALVE, S. ; ALRASHED, M. ; ALT, C. ; ALTON, A. ; Valdiviesso, G.	A3	
artigoEmPeriodico	 	2022	1434-6052	http://dx.doi.org/10.1140/epjc/s10052-022-10549-w	Scintillation light detection in the 6-m drift-length ProtoDUNE Dual Phase liquid argon TPC	EUROPEAN PHYSICAL JOURNAL C. PARTICLES AND FIELDS	ABUD, A. ABED ; ABI, B. ; ACCIARRI, R. ; ACERO, M. A. ; ADAMES, M. R. ; ADAMOV, G. ; ADAMOWSKI, M. ; ADAMS, D. ; ADINOLFI, M. ; ADUSZKIEWICZ, A. ; AGUILAR, J. ; AHMAD, Z. ; AHMED, J. ; AIMARD, B. ; ALI-MOHAMMADZADEH, B. ; ALION, T. ; ALLISON, K. ; MONSALVE, S. ALONSO ; ALRASHED, M. ; Valdiviesso, G.	A2	
artigoEmPeriodico	 	2022	2470-0010	http://dx.doi.org/10.1103/physrevd.105.072006	Low exposure long-baseline neutrino oscillation sensitivity of the DUNE experiment	PHYSICAL REVIEW D	ABUD, A. ABED ; ABI, B. ; ACCIARRI, R. ; ACERO, M.'A. ; ADAMES, M.'R. ; ADAMOV, G. ; ADAMS, D. ; ADINOLFI, M. ; ADUSZKIEWICZ, A. ; AGUILAR, J. ; AHMAD, Z. ; AHMED, J. ; AIMARD, B. ; ALI-MOHAMMADZADEH, B. ; ALION, T. ; ALLISON, K. ; MONSALVE, S. ALONSO ; ALRASHED, M. ; ALT, C. ; Valdiviesso, G.	A1	
artigoEmPeriodico	 	2022	1742-5468	http://dx.doi.org/10.1088/1742-5468/ac70dc	Contact process on weighted planar stochastic lattice	JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT	ALVES, SIDINEY G ; DE OLIVEIRA, MARCELO M	A2	
artigoEmPeriodico	 	2022	0003-3804	http://dx.doi.org/10.1002/andp.202100564	The Gor'kov and Melik-Barkhudarov Correction to an Imbalanced Fermi Gas in the Presence of Impurities	ANNALEN DER PHYSIK	Caldas, Heron; RUFO, S. ; GRIFFITH, M. A. R.	A3	
artigoEmPeriodico	 	2022	1463-9076	http://dx.doi.org/10.1039/d2cp03264c	An electrodeposition model with surface relaxation predicts temperature and current effects in compact and dendritic film morphologies	PHYSICAL CHEMISTRY CHEMICAL PHYSICS	Carrasco, Ismael S. S. ; Alves, Sidiney G. ; Reis, Fábio D. A. A.	A1	
artigoEmPeriodico	 	2022	0022-5193	http://dx.doi.org/10.1016/j.jtbi.2022.111106	Social context modulates scale-free movements in a social insect	JOURNAL OF THEORETICAL BIOLOGY	CASTIBLANCO, JULIETH ; CRISTALDO, PAULO F. ; PAIVA, LETICIA R. ; DESOUZA, OG	A1	
artigoEmPeriodico	 	2022	2470-0045	http://dx.doi.org/10.1103/PhysRevE.106.024302	Heterogeneous mean-field theory for two-species symbiotic processes on networks	PHYSICAL REVIEW E	COSTA, G. S. ; de OLIVEIRA, M. M. ; FERREIRA JR., S. C.	A1	
artigoEmPeriodico	 	2022	0035-8711	http://dx.doi.org/10.1093/mnras/stac2039	Testing a varying-¿ model for dark energy within co-varying physical couplings framework	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	CUZINATTO, R R; GUPTA, R P ; HOLANDA, R F L ; JESUS, J F ; PEREIRA, S H	A1	
artigoEmPeriodico	 	2022	0035-8711	http://dx.doi.org/10.1093/mnras/stac3267	Observational constraints on varying fundamental constants in a minimal CPC model	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	CUZINATTO, R R; HOLANDA, R F L ; PEREIRA, S H	A1	
artigoEmPeriodico	 	2022	1361-6382	http://dx.doi.org/10.1088/1361-6382/ac51bb	Non-commutativity and non-inertial effects on a scalar field in a cosmic string space-time: I. Klein-Gordon oscillator	Classical and Quantum Gravity	CUZINATTO, RODRIGO ROCHA; DE MONTIGNY, MARC ; POMPEIA, PEDRO JOSÉ	A1	
artigoEmPeriodico	 	2022	1361-6382	http://dx.doi.org/10.1088/1361-6382/ac51bc	Non-commutativity and non-inertial effects on a scalar field in a cosmic string space-time: II. Spin-zero Duffin-Kemmer-Petiau-like oscillator	Classical and Quantum Gravity	CUZINATTO, RODRIGO ROCHA; DE MONTIGNY, MARC ; POMPEIA, PEDRO JOSÉ	A1	
artigoEmPeriodico	 	2022	1434-6052	http://dx.doi.org/10.1140/epjc/s10052-022-10726-x	The Double Chooz antineutrino detectors	EUROPEAN PHYSICAL JOURNAL C. PARTICLES AND FIELDS	de Kerret, H. ; Abe, Y. ; Aberle, C. ; ABRAHÃO, T. ; AHIJADO, J. M. ; AKIRI, T. ; ALARCÓN, J. M. ; ALBA, J. ; ALMAZAN, H. ; DOS ANJOS, J. C. ; APPEL, S. ; ARDELLIER, F. ; BARABANOV, I. ; BARRIERE, J. C. ; BAUSSAN, E. ; BAXTER, A. ; BEKMAN, I. ; Bergevin, M. ; Bernstein, A. ; Valdiviesso, G.	A2	
artigoEmPeriodico	 	2022	1463-9084	http://dx.doi.org/10.1039/D2CP05006D	Size-dependent photoinduced transparency in colloidal CdTe quantum dots in the strong confinement regime: an inverse linear relationship	PHYSICAL CHEMISTRY CHEMICAL PHYSICS	DOS SANTOS, CARLOS H. D. ; FERREIRA, DIEGO L. ; ZUCOLOTTO COCCA, LEANDRO H. ; MOURÃO, RAFAEL S. ; SCHIAVON, MARCO A. ; MENDONÇA, CLEBER R. ; DE BONI, Leonardo ; Vivas, Marcelo G.	A1	
artigoEmPeriodico	 	2022	1520-5827	http://dx.doi.org/10.1021/acs.langmuir.2c02023	Size-Dependent Photobleaching Mechanism and Kinetics Induced by Nanosecond Laser Pulses in Colloidal Semiconductor Quantum Dots	LANGMUIR	DOS SANTOS, CARLOS H. D. ; FERREIRA, DIEGO LOURENÇONI ; VALE, BRENER R. C. ; MOURÃO, RAFAEL S. ; SCHIAVON, MARCO ANTÔNIO ; VIVAS, MARCELO GONÇALVES	A2	
artigoEmPeriodico	 	2022	2178-7727	http://dx.doi.org/10.17648/acta.scientiae.7247	The Construction of the Tower of Pisa as a Basis for Problem-Solving in the Exact Sciences and the Use of Interdisciplinarity in Teaching	REVISTA ACTA SCIENTIAE	FARIA, L. C. S. ; TREVISAN, K. ; R. Bretas ; Camps, I. ; AVERSI-FERREIRA, T. A.	A2	
artigoEmPeriodico	 	2022	2470-0029	http://dx.doi.org/10.1103/PhysRevD.105.024021	Nonlinear electrodynamics nonminimally coupled to gravity: Symmetric-hyperbolicity and causal structure	Physical Review D	GOULART, ÉRICO; BERGLIAFFA, SANTIAGO ESTEBAN PEREZ	A1	
artigoEmPeriodico	 	2022	2469-9926	http://dx.doi.org/10.1103/physreva.106.063521	Light propagation in <math> <mrow> <mo>(</mo> <mn>2</mn> <mo>+</mo> <mn>1</mn> <mo>)</mo> </mrow> </math> -dimensional electrodynamics: The case of linear constitutive laws	PHYSICAL REVIEW A	GOULART, ÉRICO; BITTENCOURT, EDUARDO ; BRANDÃO, ELLITON O. S.	A1	
artigoEmPeriodico	 	2022	1381-1991	http://dx.doi.org/10.1007/s11030-022-10584-5	Subtractive sequence analysis aided druggable targets mining in Burkholderia cepacia complex and finding inhibitors through bioinformatics approach	MOLECULAR DIVERSITY	HASSAN, SYED SHAH ; SHAMS, RIDA ; Camps, Ihosvany ; BASHARAT, ZARRIN ; SOHAIL, SAMAN ; KHAN, YASMIN ; ULLAH, ASAD ; IRFAN, MUHAMMAD ; ALI, JAVED ; BILAL, MUHAMMAD ; MOREL, CARLOS M.	A3	
