artigoEmPeriodico	 	2021		http://dx.doi.org/10.33448/rsd-v10i17.23980	Uma rede digital local para subsidiar o ensino e a aprendizagem de Física	RESEARCH, SOCIETY AND DEVELOPMENT	PIMENTA, V. J. ; PIMENTA, R. C. S. ; SOLTAU, S. B.	C	
artigoEmPeriodico	 	2021		http://dx.doi.org/10.1016/j.ceramint.2021.05.176	Structural, optical, and magnetic evaluation of Co-, Ni-, and Mn-modified multiferroic BiFeO3 ceramics	CERAMICS INTERNATIONAL	SALES, J.N.B. ; DA SILVA, R.T. ; LARA, L.R.S. ; RAMOS, S.L.L.M. ; SOARES, J.S. ; SOARES, T.A.S. ; MACHADO, G. ; MANHABOSCO, S.M. ; DE OLIVEIRA, A.B. ; DE CARVALHO, H.B. ; BATISTA, R.J.C. ; STUMPF, H.O. ; MANHABOSCO, T.M.	A1	
artigoEmPeriodico	 	2021		http://dx.doi.org/10.22201/ia.01851101p.2021.57.01.07	Periodicity detection in AGN with the boosted tree method	REVISTA MEXICANA DE ASTRONOMIA Y ASTROFISICA	SOLTAU, S. B.; BOTTI, L. C. L.	A4	REVISTA MEXICANA DE ASTRONOMÍA Y ASTROFÍSICA
artigoEmPeriodico	 	2021		http://dx.doi.org/10.22408/reva6020219771278-1293	A UTILIZAÇÃO DA ROBÓTICA EDUCACIONAL E GAMIFICAÇÃO EMPREGANDO O KIT EV3 LEGO: BUSCANDO ALTERNATIVAS PARA O ENSINO DE FÍSICA EM SINTONIA COM OS ALUNOS DA GERAÇÃO ATUAL	REVISTA VALORE	TAVARES, M. F. ; PINTO, J. A. ; MAGALHÃES, CRISTIANA S.	B2	
artigoEmPeriodico	 	2021		http://dx.doi.org/10.22408/reva602021834601-613	Construção e aplicação de jogos didáticos para ensino de Física: uma metodologia ativa em harmonia com o cotidiano dos alunos do Ensino Médio	REVISTA VALORE	UYEDA, F. A. S. ; PINTO, J. A. ; TOTI, F. A.	B2	
artigoEmPeriodico	 	2021		http://dx.doi.org/10.22408/reva602021947888-902	MONTAGEM E APLICAÇÃO DE UM EXPERIMENTO SOBRE INSTRUMENTOS ÓPTICOS USANDO SMARTPHONES	REVISTA VALORE	VILELA, J. L. L. ; PINTO, J. A. ; MAGALHÃES, CRISTIANA S.	B2	
artigoEmPeriodico	 	2021		http://dx.doi.org/10.1107/S0108767321087900	Three-dimensional topological analysis of the experimental and theoretical electron density of a 5-fluorocytosine/isoniazid co-crystal	Acta Crystallographica A-Foundation and Advances	WANDERLEY, ADILSON BARROS ; TENORIO, JUAN CARLOS ; Camps, Ihosvany ; LEHMANN, CHRISTIAN W. ; Ellena, Javier	A4	ACTA CRYSTALLOGRAPHICA A - FOUNDATION AND ADVANCES
artigoEmPeriodico	 	2020		http://dx.doi.org/10.1103/PhysRevA.101.023828	Controlling photon bunching and antibunching of two quantum emitters near a core-shell sphere	PHYSICAL REVIEW A	ARRUDA, T. J.; BACHELARD, R. P. M. ; WEINER, J. ; SLAMA, S. ; COURTEILLE, P. W.	A1	
artigoEmPeriodico	 	2020		http://dx.doi.org/10.1007/s10825-020-01547-w	The application of a modified Levine model to quantum-well infrared photodetectors in the low-temperature regime	Journal of Computational Electronics	BEZERRA, Anibal Thiago	A4	
artigoEmPeriodico	 	2020		http://dx.doi.org/10.1016/j.foodres.2020.109334	Camu-camu (Myrciaria dubia) seeds as a novel source of bioactive compounds with promising antimalarial and antischistosomicidal properties	FOOD RESEARCH INTERNATIONAL	DO CARMO, MARIANA ARAÚJO VIEIRA ; FIDELIS, MARINA ; SANCHEZ, CAROLINE ANDOLFATO ; CASTRO, ALINE PEREIRA ; Camps, Ihosvany ; COLOMBO, FÁBIO ANTÔNIO ; MARQUES, MARCOS JOSÉ ; MYODA, TAKAO ; GRANATO, DANIEL ; AZEVEDO, LUCIANA	A1	
artigoEmPeriodico	 	2020		http://dx.doi.org/10.1080/17455030.2020.1738590	A set of basis functions to improve numerical calculation of Mie scattering in the Chandrasekhar-Sekera representation	Waves in Random and Complex Media	MARTINEZ, A. S. ; ALCARAS, J. R. ; ARRUDA, T. J.	Qualis nao identificado	WAVES IN RANDOM AND COMPLEX MEDIA
artigoEmPeriodico	 	2020		http://dx.doi.org/10.1016/j.mtcomm.2020.101002	Synthesis and characterization of a new magnetic restricted access molecularly imprinted polymer for biological sample preparation	Materials Today Communications	MENDES, T. V. ; FRANQUI, LIDIANE SILVA ; SANTOS, MARIANE GONÇALVES ; WISNIEWSKI, C. ; FIGUEIREDO, EDUARDO COSTA	A4	
artigoEmPeriodico	 	2020		http://dx.doi.org/10.1016/j.jallcom.2020.157975	Local and electronic structure of Sr1-Gd TiO3 probed by X-ray absorption spectroscopy	JOURNAL OF ALLOYS AND COMPOUNDS	MESQUITA, ALEXANDRE ; MAGNAVITA OLIVEIRA, ELIO THIZAY ; BONETTE DE CARVALHO, HUGO	A1	
artigoEmPeriodico	 	2020			Ensino de Língua Portuguesa e Ciências da Natureza nos Anos Iniciais: um estudo de caso da prática de ensino das professoras	RESEARCH, SOCIETY AND DEVELOPMENT	PANIAGO, J. N. ; TOTI, Fredrerico Augusto ; PANIAGO, R. N.	C	
artigoEmPeriodico	 	2020		http://dx.doi.org/10.1080/07391102.2019.1655480	Potential novel inhibitors against emerging zoonotic pathogen Nipah virus : a virtual screening and molecular dynamics approach	JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS	ROPÓN-PALACIOS, GEORCKI ; CHENET-ZUTA, MANUEL E. ; OLIVOS-RAMIREZ, GUSTAVO E. ; OTAZU, KEWIN ; ACURIO-SAAVEDRA, JORGE ; Camps, Ihosvany	C	
artigoEmPeriodico	 	2020		http://dx.doi.org/10.1590/1806-9126	Detecção do trânsito planetário de um exoplaneta com um telescópio de pequena abertura	REVISTA BRASILEIRA DE ENSINO DE FÍSICA (ONLINE)	SILVA, J. C. ; Artur Justiniano ; ALVES, J. C. P.	A1	
artigoEmPeriodico	 	2019			Revista de Química Industrial	REVISTA DE QUÍMICA INDUSTRIAL	Almeida, G. A. ; CARVALHO, N. C. ; LIMA, Giovana F. ; WISNIEWSKI, C. ; LUCCAS, P. O.	Qualis nao identificado	REVISTA DE QUÍMICA INDUSTRIAL
artigoEmPeriodico	 	2019		http://dx.doi.org/10.33448/rsd-v8i4.959	Uma proposta de uso do Instagram em metodologia aplicável em disciplinas do Ensino Médio	Research, Society and Development	DAVID, FRANCIELLI DE FATIMA DOS SANTOS ; SILVA, AMANDA BORGES APARECIDA DA ; BALDASSO, GABRIEL ; MARCULINO, CÁSSIO HENRIQUE DE SOUZA ; ALMEIDA, JOÃO VICTOR DE ; SOLTAU, SAMUEL BUENO	C	
artigoEmPeriodico	 	2019		http://dx.doi.org/10.1002/jbm.a.36709	Impact of crystallinity and crystal size of nanostructured carbonated hydroxyapatite on pre-osteoblast in vitro biocompatibility	JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A	DOS ANJOS, SUZANA ; Mavropoulos, Elena ; ALVES, GUTEMBERG G. ; Costa, Andrea M. ; DE ALENCAR HAUSEN, MOEMA ; SPIEGEL, CAROLINA N. ; LONGUINHO, MARIANA M. ; Mir, Mirta ; Granjeiro, José M. ; Rossi, Alexandre M.	A1	
