ISSN	Título	Estrato	Classificação
1818-0876	ASIAN JOURNAL OF PHARMACEUTICAL SCIENCES	A2	Atualizado
0971-3093	ASIAN JOURNAL OF PHYSICS	C	Atualizado
2582-5992	ASIAN JOURNAL OF RESEARCH AND REVIEWS IN PHYSICS	C	Atualizado
2349-6673	ASIA-PACIFIC JOURNAL OF ONCOLOGY NURSING	B1	Atualizado
1531-1074	ASTROBIOLOGY (LARCHMONT)	A1	Atualizado
0004-6337	ASTRONOMISCHE NACHRICHTEN (PRINT)	B1	Atualizado
0004-6361	ASTRONOMY & ASTROPHYSICS (BERLIN. PRINT)	A1	Atualizado
1432-0746	ASTRONOMY AND ASTROPHYSICS	A1	Atualizado
2213-1337	ASTRONOMY AND COMPUTING	A3	Atualizado
0927-6505	ASTROPARTICLE PHYSICS (PRINT)	A3	Atualizado
1538-4365	ASTROPHYSICAL JOURNAL. SUPPLEMENT SERIES	A1	Atualizado
0888-6512	ASTROPHYSICAL LETTERS & COMMUNICATIONS	C	Atualizado
0004-640X	ASTROPHYSICS AND SPACE SCIENCE	A4	Atualizado
0571-7256	ASTROPHYSICS (NEW YORK)	B2	Atualizado
2073-4433	ATMOSPHERE	A4	Atualizado
1680-7375	ATMOSPHERIC CHEMISTRY AND PHYSICS DISCUSSION (ONLINE)	C	Atualizado
1680-7367	ATMOSPHERIC CHEMISTRY AND PHYSICS DISCUSSION (PRINT)	C	Atualizado
1680-7324	ATMOSPHERIC CHEMISTRY AND PHYSICS (ONLINE)	A1	Atualizado
1680-7316	ATMOSPHERIC CHEMISTRY AND PHYSICS (PRINT)	A1	Atualizado
1352-2310	ATMOSPHERIC ENVIRONMENT	A1	Atualizado
1867-8548	ATMOSPHERIC MEASUREMENT TECHNIQUES	A2	Atualizado
1309-1042	ATMOSPHERIC POLLUTION RESEARCH	A2	Atualizado
0169-8095	ATMOSPHERIC RESEARCH (PRINT)	A1	Atualizado
1044-5110	ATOMIZATION AND SPRAYS	A4	Atualizado
2218-2004	ATOMS	B1	Atualizado
0385-8146	AURIS, NASUS, LARYNX	A4	Atualizado
0067-1924	AUSTRALIAN JOURNAL OF BOTANY (PRINT)	A4	Atualizado
